iter	Passed	Remaining
0	2	207
1	4	198
2	5	188
3	7	174
4	8	170
5	10	168
6	12	166
7	14	167
8	15	156
9	16	146
10	17	137
11	17	129
12	18	123
13	19	118
14	20	113
15	20	109
16	22	107
17	23	105
18	24	102
19	24	99
20	25	96
21	26	93
22	27	90
23	28	89
24	29	87
25	30	86
26	31	83
27	31	81
28	32	79
29	33	77
30	34	75
31	34	74
32	35	72
33	36	70
34	37	69
35	37	67
36	38	65
37	39	64
38	40	63
39	41	62
40	42	60
41	42	58
42	43	57
43	44	56
44	44	54
45	45	53
46	46	52
47	47	51
48	47	49
49	48	48
50	49	47
51	49	46
52	50	44
53	51	43
54	51	42
55	52	41
56	53	39
57	53	38
58	54	37
59	55	36
60	56	35
61	57	35
62	57	33
63	58	32
64	59	31
65	59	30
66	60	29
67	61	28
68	61	27
69	62	26
70	63	25
71	64	24
72	65	24
73	66	23
74	67	22
75	67	21
76	68	20
77	69	19
78	70	18
79	70	17
80	71	16
81	72	16
82	73	15
83	74	14
84	75	13
85	75	12
86	76	11
87	77	10
88	78	9
89	78	8
90	79	7
91	80	7
92	81	6
93	82	5
94	83	4
95	83	3
96	84	2
97	85	1
98	86	0
99	86	0
